player_name,gp,g,a,pim,plus_minus
 Sudbury Wolves , 41 , 6 , 21 , 44 , -3 
 Kitchener Rangers , 28 , 1 , 17 , 45 , 21 
Dalton Young (D), 68 , 6 , 39 , 40 , 19 
Darcy Greenaway (RW), 65 , 24 , 20 , 26 , -1 
Rickard Rakell (LW), 40 , 21 , 23 , 12 , 19 
Jared McCann (C/LW), 64 , 21 , 23 , 35 , -6 
Carter Verhaeghe (C/LW), 67 , 18 , 26 , 22 , -12 
Andrey Pedan (D), 60 , 14 , 30 , 145 , 0 
Joshua Ho-Sang (RW), 63 , 14 , 30 , 22 , -23 
Connor Carrick (D), 68 , 12 , 32 , 79 , 27 
Alex Basso (D), 57 , 11 , 33 , 49 , 0 
Daniil Zharkov (LW), 59 , 25 , 18 , 24 , 18 
Spencer Watson (RW), 63 , 23 , 20 , 18 , 0 
Cody Alcock (C), 67 , 20 , 23 , 36 , -10 
Nick Moutrey (C/LW), 65 , 16 , 27 , 44 , 2 
Cole Cassels (C), 64 , 15 , 28 , 61 , 7 
Luke Cairns (LW), 68 , 12 , 29 , 43 , -29 
Darnell Nurse (D), 68 , 12 , 29 , 116 , 15 
Dougie Hamilton (D), 32 , 8 , 33 , 32 , 25 
Zach Nastasiuk (RW/C), 62 , 20 , 20 , 32 , 21 
Sam Bennett (C/LW), 60 , 18 , 22 , 87 , -2 
Dante Salituro (RW/C), 64 , 14 , 26 , 56 , -44 
Dominik Kahun (C/W), 58 , 13 , 27 , 8 , 0 
Patrik Machac (C), 68 , 12 , 28 , 32 , 2 
Zac Leslie (D), 68 , 12 , 28 , 58 , 16 
Adam Pelech (D), 59 , 8 , 32 , 98 , -16 
Matt MacLeod (RW), 63 , 19 , 20 , 43 , 13 
Ryan Van Stralen (RW), 61 , 16 , 23 , 88 , -28 
Geoff Schemitsch (D), 66 , 6 , 33 , 22 , 29 
Jesse Graham (D), 68 , 4 , 35 , 48 , -17 
Stephen Harper (LW/C/D), 67 , 18 , 20 , 24 , -38 
Nick Ebert (D), 68 , 11 , 27 , 58 , -39 
Olli Määttä (D), 57 , 8 , 30 , 30 , 9 
Chris Bigras (D), 68 , 8 , 30 , 34 , 35 
Ben Johnson (C), 64 , 20 , 17 , 32 , -28 
Kristoff Kontos (C), 68 , 17 , 20 , 22 , -22 
Connor Crisp (LW/C), 63 , 22 , 14 , 139 , -31 
Steven Janes (RW), 62 , 20 , 16 , 106 , -22 
 Ottawa 67's , 36 , 14 , 13 , 62 , -17 
 Owen Sound Attack , 26 , 6 , 3 , 44 , -5 
Dane Fox (LW/C), 37 , 19 , 17 , 78 , -1 
Mitchell Heard (C), 32 , 17 , 19 , 34 , 14 
Justin Bailey (RW/LW), 57 , 17 , 19 , 34 , 22 
Brody Silk (C), 55 , 12 , 24 , 102 , -5 
Billy Jenkins (LW/C), 53 , 20 , 15 , 26 , -7 
Stephen Pierog (C), 67 , 19 , 16 , 62 , 0 
Nick Ritchie (LW), 41 , 18 , 17 , 50 , -10 
Brett Welychka (C), 67 , 16 , 19 , 25 , 20 
Sam Povorozniouk (C/RW), 66 , 12 , 23 , 55 , -15 
 Saginaw Spirit , 18 , 2 , 2 , 4 , -10 
 Kingston Frontenacs , 48 , 10 , 21 , 51 , -5 
Brett Gustavsen (LW), 46 , 8 , 27 , 45 , -10 
Lucas Lessio (LW/RW), 35 , 19 , 15 , 38 , 11 
Brandon Robinson (LW), 62 , 17 , 17 , 29 , 0 
Dominik Kubalík (LW), 67 , 17 , 17 , 25 , -3 
Michal Cajkovsky (D), 66 , 10 , 24 , 89 , -31 
Aaron Ekblad (D), 54 , 7 , 27 , 64 , 29 
Evan McEneny (D), 65 , 6 , 28 , 42 , 7 
Michael Kantor (RW), 56 , 20 , 13 , 93 , -6 
Erik Bradford (C), 68 , 18 , 15 , 46 , 8 
Justin Auger (RW), 68 , 16 , 17 , 39 , 5 
Jonatan Tanus (LW/C), 67 , 15 , 18 , 34 , 5 
Austen Brassard (RW), 62 , 14 , 19 , 94 , 15 
Jimmy McDowell (D), 67 , 14 , 19 , 44 , -43 
Jacob Cardwell (D), 54 , 10 , 23 , 42 , -11 
 Ottawa 67's , 17 , 3 , 13 , 20 , -20 
 Belleville Bulls , 37 , 7 , 10 , 22 , 9 
Robby Fabbri (C/LW), 59 , 10 , 23 , 38 , 13 
Cody McNaughton (RW), 62 , 17 , 15 , 64 , 4 
Michael Clarke (C), 62 , 15 , 17 , 46 , -23 
 Windsor Spitfires , 34 , 8 , 11 , 28 , -11 
 Peterborough Petes , 28 , 7 , 6 , 18 , -12 
Ben Thomson (LW), 67 , 15 , 17 , 119 , -3 
Nick Czinder (RW), 57 , 13 , 19 , 44 , -7 
 Kitchener Rangers , 31 , 3 , 6 , 29 , -6 
 Peterborough Petes , 26 , 10 , 13 , 15 , -1 
Zach Lorentz (C/LW), 66 , 12 , 20 , 18 , 5 
 Peterborough Petes , 22 , 5 , 6 , 10 , -5 
 Windsor Spitfires , 15 , 1 , 5 , 4 , 1 
 Plymouth Whalers , 29 , 6 , 9 , 4 , 9 
Greg Betzold (LW/C), 67 , 9 , 23 , 32 , -11 
Nick Latta (C/RW), 58 , 17 , 14 , 51 , -17 
Hunter Garlent (C), 50 , 12 , 19 , 25 , 4 
Matt Finn (D), 41 , 11 , 20 , 24 , 2 
Trevor Carrick (D), 56 , 10 , 21 , 56 , -1 
Radek Faksa (C), 39 , 9 , 22 , 26 , -1 
Nathan Chiarlitti (D), 68 , 1 , 30 , 62 , 41 
Jacob Harris (C/W), 54 , 16 , 14 , 13 , 1 
Josh MacDonald (LW/RW), 66 , 15 , 15 , 21 , 1 
Brent Pedersen (LW), 67 , 14 , 16 , 52 , 11 
Anthony DiFruscia (LW), 68 , 14 , 16 , 58 , -6 
Bryan Moore (LW), 64 , 11 , 19 , 45 , -1 
Stephen Silas (D), 60 , 7 , 23 , 45 , 17 
Mike Moffat (D), 62 , 4 , 26 , 55 , -1 
Ryan Horvat (LW), 58 , 10 , 19 , 69 , 11 
Derek Mathers (RW/D), 64 , 10 , 19 , 125 , 1 
Roland McKeown (D), 61 , 7 , 22 , 33 , -24 
Slater Koekkoek (D), 42 , 6 , 23 , 28 , -24 
 Peterborough Petes , 40 , 6 , 22 , 28 , -26 
 Windsor Spitfires , 2 , 0 , 1 , 0 , 2 
Jason Shaw (D), 61 , 4 , 25 , 76 , 3 
 Belleville Bulls , 19 , 0 , 4 , 14 , -9 
 Saginaw Spirit , 42 , 4 , 21 , 62 , 12 
Luke Mercer (D), 68 , 2 , 27 , 56 , 8 
Dylan Blujus (D), 68 , 2 , 27 , 57 , -8 
Kurtis Gabriel (RW), 67 , 13 , 15 , 100 , 14 
Nick Paul (LW), 66 , 12 , 16 , 21 , 6 
Joshua Burnside (LW), 68 , 12 , 16 , 22 , -13 
Eric Ming (RW), 61 , 11 , 17 , 53 , 9 
Jamie Lewis (C), 65 , 11 , 17 , 30 , 4 
Sergei Kuptsov (RW), 61 , 10 , 18 , 35 , -23 
 Belleville Bulls , 33 , 6 , 8 , 19 , -6 
 Ottawa 67's , 28 , 4 , 10 , 16 , -17 
Trevor Murphy (D), 65 , 9 , 19 , 83 , -37 
 Peterborough Petes , 23 , 2 , 2 , 23 , -8 
 Windsor Spitfires , 42 , 7 , 17 , 60 , -29 
Warren Steele (D), 67 , 5 , 23 , 49 , -9 
Derek Schoenmakers (RW/C), 53 , 17 , 10 , 69 , -3 
 Windsor Spitfires , 24 , 9 , 4 , 38 , -2 
 Peterborough Petes , 0 , 0 , 0 , 0 , 0 
 Kitchener Rangers , 29 , 8 , 6 , 31 , -1 
Kyle Hope (LW), 62 , 14 , 13 , 109 , 13 
Garrett Hooey (C), 68 , 11 , 16 , 99 , 5 
Sebastian Uvira (LW/RW), 49 , 10 , 17 , 48 , 15 
 Oshawa Generals , 23 , 3 , 3 , 17 , 1 
 Plymouth Whalers , 26 , 7 , 14 , 31 , 14 
Steven Trojanovic (D), 59 , 10 , 17 , 48 , -5 
Zach Bell (D), 67 , 9 , 18 , 50 , -13 
Shayne Rover (D), 67 , 8 , 19 , 36 , -6 
Charlie Dodero (D), 67 , 7 , 20 , 97 , -23 
Jake Worrad (D), 57 , 4 , 23 , 22 , 19 
Tyson Fawcett (C), 62 , 9 , 17 , 31 , 9 
Daniel Nikandrov (LW/C), 61 , 7 , 19 , 10 , -5 
Taylor Fielding (RW), 51 , 13 , 12 , 50 , -9 
Patrick Watling (C), 53 , 12 , 13 , 14 , 16 
Terry Trafford (LW), 63 , 12 , 13 , 50 , 0 
Matia Marcantuoni (C/LW), 64 , 7 , 18 , 34 , -3 
Brenden Miller (D), 68 , 7 , 18 , 73 , 3 
Nikita Zadorov (D), 63 , 6 , 19 , 54 , 33 
Colin Suellentrop (D), 66 , 5 , 20 , 56 , 3 
Brandon Devlin (D), 62 , 4 , 21 , 69 , -2 
 Windsor Spitfires , 18 , 0 , 6 , 31 , -5 
 Peterborough Petes , 44 , 4 , 15 , 38 , 3 
Bradley Latour (C/LW), 66 , 11 , 13 , 18 , 7 
Brett Foy (C), 66 , 11 , 13 , 51 , 2 
Chris Marchese (LW), 39 , 9 , 15 , 8 , -6 
Holden Cook (C/RW), 65 , 15 , 8 , 25 , 7 
Brendan Bell (LW), 67 , 11 , 12 , 74 , -20 
 Barrie Colts , 26 , 4 , 5 , 23 , 2 
 Ottawa 67's , 41 , 7 , 7 , 51 , -22 
Carter Sandlak (LW), 60 , 9 , 14 , 98 , 4 
Spenser Cobbold (LW), 64 , 9 , 14 , 78 , -15 
Brady Austin (D), 64 , 8 , 15 , 22 , 16 
Scott Simmonds (C), 66 , 6 , 17 , 21 , 10 
Tyler Bertuzzi (LW/RW), 43 , 13 , 9 , 68 , -2 
Nicholas Foglia (C), 67 , 10 , 12 , 26 , -9 
Andrei S. Alexeyev (LW/C), 62 , 8 , 14 , 45 , -5 
Josh Sterk (C), 51 , 6 , 16 , 18 , 10 
Jaden Lindo (RW), 63 , 5 , 17 , 55 , 12 
Kyle Platzer (RW/C), 65 , 5 , 17 , 15 , 7 
Mikko Vainonen (D), 55 , 4 , 18 , 42 , -11 
Jake Dotchin (D), 66 , 4 , 18 , 81 , 0 
 Owen Sound Attack , 38 , 2 , 12 , 39 , 1 
 Barrie Colts , 28 , 2 , 6 , 42 , -1 
Brock Beukeboom (D), 67 , 1 , 21 , 40 , 31 
 Niagara IceDogs , 16 , 0 , 8 , 16 , 2 
 Guelph Storm , 51 , 1 , 13 , 24 , 29 
Ray Huether (C), 62 , 7 , 14 , 31 , -7 
Tyler Ferry (D/F), 68 , 4 , 17 , 57 , 11 
Ben Fanelli (D), 64 , 3 , 18 , 44 , 23 
Justin Sefton (D), 65 , 3 , 18 , 84 , 8 
 Sudbury Wolves , 40 , 2 , 15 , 58 , 9 
 London Knights , 25 , 1 , 3 , 26 , -1 
Sam Schutt (LW), 66 , 11 , 9 , 34 , -6 
 Sudbury Wolves , 10 , 2 , 2 , 5 , -1 
 Kingston Frontenacs , 56 , 9 , 7 , 29 , -5 
Michael Curtis (LW), 55 , 10 , 10 , 30 , -1 
Brendan Childerley (RW), 56 , 7 , 13 , 44 , -1 
Jordan Maletta (C), 62 , 7 , 13 , 65 , -27 
 Windsor Spitfires , 36 , 4 , 8 , 38 , -16 
 Niagara IceDogs , 26 , 3 , 5 , 27 , -11 
Spencer Abraham (D), 67 , 7 , 13 , 10 , -32 
 Brampton Battalion , 4 , 1 , 1 , 2 , -2 
 Erie Otters , 63 , 6 , 12 , 8 , -30 
Curtis Meighan (C), 66 , 5 , 15 , 17 , 8 
Stephen Nosad (RW), 62 , 10 , 9 , 6 , -19 
Craig Duininck (D), 68 , 8 , 11 , 27 , 1 
Michael Amadio (C), 63 , 6 , 13 , 8 , -3 
Daniel Milne (LW), 27 , 4 , 15 , 21 , 2 
Scott Harrington (D), 50 , 3 , 16 , 26 , 21 
Cameron Wind (D), 65 , 1 , 18 , 37 , -10 
Dylan Staples (RW), 63 , 13 , 5 , 22 , -13 
Justice Dundas (RW/LW), 57 , 11 , 7 , 108 , 2 
 Sarnia Sting , 30 , 5 , 4 , 33 , -5 
 Oshawa Generals , 27 , 6 , 3 , 75 , 7 
Aaron Berisha (RW), 59 , 10 , 8 , 16 , 4 
Emerson Clark (LW), 63 , 7 , 11 , 131 , -24 
Connor Murphy (D), 33 , 6 , 12 , 32 , 14 
Trevor Morbeck (RW/D), 49 , 6 , 12 , 37 , -3 
 Kingston Frontenacs , 15 , 5 , 2 , 13 , -7 
 Oshawa Generals , 34 , 1 , 10 , 24 , 4 
Joel Wigle (RW), 66 , 3 , 15 , 50 , -23 
 Niagara IceDogs , 39 , 3 , 12 , 46 , -6 
 Erie Otters , 27 , 0 , 3 , 4 , -17 
Remi Elie (LW), 65 , 7 , 10 , 34 , 7 
Austin Levi (D), 58 , 2 , 15 , 49 , 31 
Kevin Raine (D), 55 , 1 , 16 , 79 , 21 
 London Knights , 33 , 1 , 7 , 63 , 17 
 Sudbury Wolves , 22 , 0 , 9 , 16 , 4 
Tyler Ganly (D), 62 , 0 , 17 , 64 , 2 
Mike Vlajkov (D), 49 , 6 , 10 , 26 , -25 
Jeremiah Addison (LW/RW), 68 , 6 , 10 , 42 , -18 
Jake Evans (C), 56 , 5 , 11 , 52 , -21 
Eric Cornel (C/RW), 63 , 4 , 12 , 13 , -2 
Tommy Hughes (D), 67 , 1 , 15 , 66 , 17 
Saverio Posa (D), 63 , 0 , 16 , 49 , 4 
 Windsor Spitfires , 38 , 0 , 10 , 29 , -10 
 Guelph Storm , 25 , 0 , 6 , 20 , 14 
Josh Brown (D), 68 , 0 , 16 , 79 , 17 
Mathew Santos (RW), 57 , 7 , 8 , 24 , -3 
Chris Carlisle (D), 56 , 4 , 11 , 43 , 2 
Slater Doggett (C), 60 , 3 , 12 , 33 , -7 
Ben Harpur (D), 67 , 3 , 12 , 59 , 14 
Artur Gavrus (C/LW), 21 , 8 , 6 , 11 , -1 
Brandon Lindberg (C), 61 , 8 , 6 , 8 , -10 
Nick Halagian (LW), 61 , 8 , 6 , 39 , 4 
Brian Hughes (C), 68 , 8 , 6 , 22 , -7 
Brendan Lemieux (LW), 42 , 6 , 8 , 52 , 2 
Zach Bratina (LW), 50 , 6 , 8 , 27 , 4 
 Plymouth Whalers , 37 , 4 , 4 , 16 , 1 
 Saginaw Spirit , 13 , 2 , 4 , 11 , 3 
Marc Beckstead (LW), 53 , 6 , 8 , 33 , -10 
Danny Vanderwiel (LW), 57 , 4 , 10 , 41 , -1 
Marcus McIvor (D), 62 , 4 , 10 , 46 , 12 
Keevin Cutting (D), 68 , 4 , 10 , 42 , 1 
Alex Gudbranson (D), 65 , 3 , 11 , 62 , 0 
Brayden Rose (D), 67 , 2 , 12 , 51 , 10 
Darby Llewellyn (LW/RW), 40 , 7 , 6 , 15 , 1 
Dan Desrochers (C), 58 , 5 , 8 , 38 , -1 
Domenic Alberga (C), 60 , 5 , 8 , 51 , -1 
Nelson Armstrong (D), 25 , 4 , 9 , 20 , 6 
Steven Strong (D), 36 , 4 , 9 , 48 , 15 
Niki Petti (C), 50 , 4 , 9 , 19 , 1 
Travis Wood (LW), 54 , 4 , 9 , 10 , -16 
Chase Hatcher (RW), 57 , 4 , 9 , 41 , 6 
Jeff Corbett (D), 45 , 3 , 10 , 36 , 9 
Clark Seymour (D), 62 , 3 , 10 , 61 , -7 
Simon Karlsson (D), 54 , 2 , 11 , 18 , 3 
 Plymouth Whalers , 34 , 2 , 9 , 10 , 1 
 Oshawa Generals , 20 , 0 , 2 , 8 , 2 
Daniel Poliziani (D), 59 , 2 , 11 , 2 , 9 
Grant Webermin (D), 39 , 1 , 12 , 24 , 2 
Tyler Hore (D), 57 , 1 , 12 , 14 , -6 
 Oshawa Generals , 30 , 0 , 5 , 4 , 4 
 Sarnia Sting , 27 , 1 , 7 , 10 , -10 
Andrew Goldberg (RW), 61 , 9 , 3 , 30 , -9 
Brendan Perlini (LW/RW), 59 , 8 , 4 , 8 , -21 
 Barrie Colts , 32 , 1 , 1 , 4 , -6 
 Niagara IceDogs , 27 , 7 , 3 , 4 , -15 
Hayden Hodgson (RW), 60 , 8 , 4 , 60 , -26 
Craig Hottot (RW), 29 , 5 , 7 , 64 , -22 
 Sarnia Sting , 11 , 4 , 7 , 21 , -8 
 Mississauga Steelheads , 18 , 1 , 0 , 43 , -14 
Gregg Sutch (RW), 42 , 4 , 8 , 76 , -12 
Nick Betz (RW), 44 , 4 , 8 , 38 , -5 
Alex Cord (D), 68 , 4 , 8 , 74 , -10 
Peter Ceresnak (D), 56 , 3 , 9 , 24 , -13 
Damian Bourne (LW), 50 , 2 , 10 , 30 , 2 
Ryan Hanes (D/F), 60 , 2 , 10 , 44 , -10 
 Kitchener Rangers , 9 , 0 , 0 , 10 , 0 
 Kingston Frontenacs , 51 , 2 , 10 , 34 , -10 
Chris Buonomo (D), 47 , 1 , 11 , 47 , -11 
Jonathan Laser (D), 62 , 1 , 11 , 31 , 9 
Alexander Peters (D), 58 , 0 , 12 , 31 , 9 
Brett Hargrave (RW), 63 , 6 , 5 , 24 , -12 
Trevor Petersen (LW), 65 , 6 , 5 , 27 , -21 
Gilbert Gabor (LW), 51 , 5 , 6 , 23 , 5 
Semyon Babintsev (RW), 62 , 5 , 6 , 14 , 4 
Bobby MacIntyre (LW), 61 , 4 , 7 , 28 , -14 
Patrick Sieloff (D), 45 , 3 , 8 , 85 , -9 
Ondrej Kopta (LW), 51 , 3 , 8 , 28 , -17 
Brandon Prophet (D), 54 , 3 , 8 , 53 , 5 
Michael Whaley (C/LW), 64 , 3 , 8 , 20 , -3 
Jacob Jammes (C), 27 , 2 , 9 , 13 , 8 
Dakota Mermis (D), 27 , 2 , 9 , 34 , 15 
Jake Ringuette (D), 63 , 2 , 9 , 54 , -5 
Evan de Haan (D), 64 , 2 , 9 , 18 , -12 
Nevin Guy (D), 66 , 2 , 9 , 12 , -23 
Nathan Glass (D), 62 , 1 , 10 , 22 , 6 
 Erie Otters , 29 , 0 , 4 , 8 , -2 
 Saginaw Spirit , 33 , 1 , 6 , 14 , 8 
Michael Webster (D), 63 , 0 , 11 , 49 , 14 
Mark Petaccio (RW), 50 , 7 , 3 , 62 , -14 
 Sault Ste. Marie Greyhounds , 26 , 3 , 0 , 24 , -3 
 Ottawa 67's , 24 , 4 , 3 , 38 , -11 
Luke Hietkamp (RW), 52 , 5 , 5 , 21 , -5 
 Peterborough Petes , 15 , 1 , 2 , 9 , -3 
 Kingston Frontenacs , 37 , 4 , 3 , 12 , -2 
Adam Bateman (D), 56 , 5 , 5 , 20 , -8 
Aaron Haydon (D), 42 , 4 , 6 , 39 , -7 
Matt Schmalz (RW/C), 49 , 4 , 6 , 21 , 1 
 Kitchener Rangers , 25 , 1 , 0 , 8 , -3 
 Sudbury Wolves , 24 , 3 , 6 , 13 , 4 
Mike Robinson (LW), 53 , 4 , 6 , 28 , -12 
Alex Carnevale (LW), 59 , 3 , 7 , 37 , -13 
 Belleville Bulls , 6 , 0 , 0 , 0 , 0 
 Sarnia Sting , 53 , 3 , 7 , 37 , -13 
Jack Kuzmyk (D), 65 , 1 , 9 , 25 , -16 
 Sarnia Sting , 40 , 1 , 3 , 17 , -9 
 Erie Otters , 25 , 0 , 6 , 8 , -7 
Davis Brown (LW), 52 , 6 , 3 , 22 , -16 
Mack Lemmon (RW), 59 , 5 , 4 , 136 , -23 
 Belleville Bulls , 7 , 0 , 0 , 21 , 1 
 Niagara IceDogs , 52 , 5 , 4 , 115 , -24 
Justin Scott (C/W), 55 , 4 , 5 , 24 , -1 
Miles Liberati (D), 42 , 3 , 6 , 25 , 5 
Dylan Corson (C), 66 , 2 , 7 , 59 , -5 
Colin MacDonald (D), 52 , 0 , 9 , 19 , 16 
Jared Gilbert (D), 53 , 0 , 9 , 4 , -3 
Alex Lepkowski (D), 60 , 0 , 9 , 78 , 10 
John Urbanic (RW), 57 , 4 , 4 , 53 , -20 
 Oshawa Generals , 33 , 0 , 2 , 24 , -9 
 Ottawa 67's , 24 , 4 , 2 , 29 , -11 
Tyler Gaudet (C/LW), 34 , 3 , 5 , 10 , 0 
Ryan Verbeek (C/LW), 49 , 3 , 5 , 41 , -3 
Nathan Cull (LW), 53 , 3 , 5 , 73 , -14 
 Kingston Frontenacs , 10 , 1 , 0 , 16 , -6 
 Sudbury Wolves , 43 , 2 , 5 , 57 , -8 
Max Iafrate (D), 61 , 3 , 5 , 73 , -17 
Sam Studnicka (C), 59 , 2 , 6 , 50 , -21 
Dylan Sadowy (LW/RW), 61 , 2 , 6 , 45 , -13 
Josh Maguire (LW/RW), 49 , 1 , 7 , 30 , 1 
Kurtis MacDermid (D), 65 , 1 , 7 , 110 , 7 
Troy Donnay (D), 68 , 1 , 7 , 48 , -39 
Tyler Mort (D), 24 , 0 , 8 , 10 , -9 
Daniel Zweep (LW), 57 , 5 , 2 , 94 , -4 
Jean Dupuy (C/W), 42 , 4 , 3 , 79 , -10 
Brook Hiddink (C/RW), 51 , 4 , 3 , 2 , -10 
Corey Pawley (LW), 27 , 3 , 4 , 16 , 1 
Mitchell Fitzmorris (LW), 61 , 3 , 4 , 42 , -23 
 Kingston Frontenacs , 36 , 2 , 2 , 32 , -13 
 Niagara IceDogs , 25 , 1 , 2 , 10 , -10 
Dylan Di Perna (D), 46 , 2 , 5 , 17 , -3 
Sean Callaghan (D), 65 , 2 , 5 , 104 , -37 
Will Petschenig (D/F), 52 , 1 , 6 , 25 , 4 
Andrew Abou-Assaly (LW), 66 , 1 , 6 , 15 , -32 
Chad Thibodeau (D/F), 50 , 0 , 7 , 86 , 2 
Steven Varga (D), 51 , 0 , 7 , 9 , -8 
Mark Raycroft (D), 57 , 0 , 7 , 14 , 5 
Adam Bignell (D), 61 , 0 , 7 , 83 , 10 
Taylor Davis (D), 43 , 3 , 3 , 24 , -10 
Kyle Pettit (C), 67 , 3 , 3 , 21 , -10 
Connor Brown (LW), 68 , 3 , 3 , 59 , -28 
Taki Pantziris (D), 21 , 2 , 4 , 10 , -2 
Connor Jarvis (LW), 60 , 2 , 4 , 12 , -5 
Eric Diodati (D), 43 , 1 , 5 , 23 , -13 
Daniel Walsh (F), 45 , 1 , 5 , 53 , -25 
Cory Genovese (D), 62 , 1 , 5 , 87 , 6 
 Kitchener Rangers , 37 , 1 , 4 , 56 , 6 
 Sudbury Wolves , 25 , 0 , 1 , 31 , 0 
Ryan Hutchinson (D), 46 , 0 , 6 , 106 , -7 
Alex Yuill (D), 49 , 0 , 6 , 8 , 10 
Patrick Sanvido (D), 60 , 0 , 6 , 40 , -16 
Trent Mallette (RW), 58 , 5 , 0 , 32 , 0 
Cody Thompson (LW), 27 , 3 , 2 , 14 , 3 
Brody Milne (LW), 34 , 2 , 3 , 4 , 2 
Adam Lloyd (LW), 39 , 2 , 3 , 28 , -5 
MacKenzie Braid (D), 19 , 1 , 4 , 29 , 0 
Jacob Middleton (D), 29 , 1 , 4 , 25 , -13 
 Owen Sound Attack , 14 , 0 , 1 , 7 , 3 
 Ottawa 67's , 15 , 1 , 3 , 18 , -16 
Mitchell Dempsey (LW), 36 , 1 , 4 , 17 , 0 
Nick Malysa (D), 59 , 1 , 4 , 33 , 18 
Mitch Jones (D), 35 , 0 , 5 , 57 , 11 
Lucas Venuto (RW/LW), 22 , 4 , 0 , 0 , -4 
Chad Heffernan (LW/C), 42 , 2 , 2 , 65 , 3 
David Perklin (LW), 52 , 2 , 2 , 36 , -9 
Broderick Kelly (D), 61 , 2 , 2 , 12 , -17 
Frank Schumacher (D), 5 , 1 , 3 , 0 , -8 
Trevor Dulong (F), 12 , 1 , 3 , 0 , -2 
Graeme Brown (D), 19 , 1 , 3 , 8 , -10 
Chadd Bauman (D), 48 , 1 , 3 , 68 , 3 
Ryan Duhaime (D), 59 , 1 , 3 , 20 , -13 
Alex Renaud (LW), 63 , 1 , 3 , 22 , -17 
Josh Chapman (D), 64 , 1 , 3 , 72 , -18 
Curtis Crombeen (D), 14 , 0 , 4 , 4 , 3 
Cody Brown (RW), 35 , 0 , 4 , 4 , -4 
Jordan McNaughton (D), 36 , 0 , 4 , 8 , -8 
Artyom Kuleshov (D), 50 , 0 , 4 , 35 , -17 
Jonathan Duchesne (D), 52 , 0 , 4 , 63 , -30 
Keli Grant (RW), 11 , 3 , 0 , 0 , 2 
Adam Restoule (D), 9 , 2 , 1 , 11 , 2 
Stefano Pezzetta (LW), 27 , 2 , 1 , 21 , 3 
Owen Stewart (D), 33 , 2 , 1 , 2 , 2 
Carlos Amestoy (C), 4 , 1 , 2 , 2 , -2 
Mitch Graham (RW), 10 , 1 , 2 , 2 , 1 
Anthony Cortellessa (LW), 26 , 1 , 2 , 12 , -5 
Thomas Welsh (D), 29 , 1 , 2 , 42 , -8 
Connor Sills (LW/RW), 42 , 1 , 2 , 46 , -1 
Connor Brown (RW), 68 , 45 , 83 , 22 , 44 
Dane Fox (LW/C), 67 , 64 , 43 , 122 , 46 
Scott Kosmachuk (RW), 68 , 49 , 52 , 83 , 52 
Connor McDavid (C), 56 , 28 , 71 , 20 , 47 
Andreas Athanasiou (LW/RW), 66 , 49 , 46 , 52 , 25 
Michael Dal Colle (LW/RW), 67 , 39 , 56 , 34 , 8 
Nikolay Goldobin (RW/LW), 67 , 38 , 56 , 21 , -30 
Max Domi (C/LW), 61 , 34 , 59 , 90 , 24 
Sam Bennett (C/LW), 57 , 36 , 55 , 118 , 34 
Sergei Tolchinsky (LW/RW), 66 , 31 , 60 , 22 , -9 
Nicholas Baptiste (RW), 65 , 45 , 44 , 59 , 20 
Chris Tierney (C), 67 , 40 , 49 , 12 , 44 
Kerby Rychel (LW), 58 , 34 , 55 , 43 , 41 
 Windsor Spitfires , 27 , 16 , 22 , 15 , 13 
 Guelph Storm , 31 , 18 , 33 , 28 , 28 
Robby Fabbri (C/LW), 58 , 45 , 42 , 55 , 45 
André Burakovsky (LW/RW), 57 , 41 , 46 , 35 , 46 
Scott Laughton (C/LW), 54 , 40 , 47 , 72 , 12 
Brock McGinn (LW/RW), 58 , 43 , 42 , 45 , 46 
Joshua Ho-Sang (RW), 67 , 32 , 53 , 44 , 26 
Brady Vail (C), 67 , 32 , 51 , 39 , 29 
Zack Mitchell (RW/C), 67 , 31 , 52 , 40 , 52 
Carter Verhaeghe (C/LW), 65 , 28 , 54 , 60 , -19 
Jason Dickinson (C/LW), 68 , 26 , 52 , 42 , 42 
Gemel Smith (C/W), 69 , 37 , 38 , 47 , -1 
 Owen Sound Attack , 40 , 26 , 22 , 37 , -4 
 London Knights , 29 , 11 , 16 , 10 , 3 
Kristoff Kontos (C), 68 , 25 , 50 , 14 , 1 
Nathan Pancel (LW), 63 , 42 , 32 , 38 , 17 
Nick Ritchie (LW), 61 , 39 , 35 , 136 , 4 
Bo Horvat (C), 54 , 30 , 44 , 36 , 20 
Matt Campagna (C), 68 , 15 , 59 , 38 , 19 
Cole Cassels (C), 61 , 24 , 49 , 90 , 7 
Ryan Rupert (C/LW), 68 , 21 , 52 , 54 , 36 
Brendan Gaunce (C/LW), 65 , 31 , 41 , 59 , 25 
 Belleville Bulls , 22 , 10 , 16 , 27 , -5 
 Erie Otters , 43 , 21 , 25 , 32 , 30 
Brendan Perlini (LW/RW), 58 , 34 , 37 , 36 , -2 
Tony DeAngelo (D), 51 , 15 , 56 , 90 , -34 
Travis Konecny (C/W), 63 , 26 , 44 , 18 , -15 
Henri Ikonen (LW/C), 54 , 25 , 45 , 49 , 17 
Zach Hall (C/LW), 57 , 16 , 54 , 48 , -1 
Hunter Garlent (C), 62 , 20 , 49 , 41 , 26 
 Guelph Storm , 37 , 8 , 31 , 22 , 13 
 Peterborough Petes , 25 , 12 , 18 , 19 , 13 
