player_name,gp,g,a,pim,plus_minus
Dane Crowley (D), 71 , 1 , 20 , 149 , -15 
 Saskatoon Blades , 42 , 0 , 9 , 85 , -1 
 Swift Current Broncos , 29 , 1 , 11 , 64 , -14 
Cole Hunter (LW), 59 , 9 , 11 , 31 , -11 
Rob Klinkhammer (W/C), 67 , 8 , 12 , 52 , -10 
 Lethbridge Hurricanes , 35 , 5 , 7 , 15 , -4 
 Seattle Thunderbirds , 32 , 3 , 5 , 37 , -6 
Cole Simpson (D), 71 , 8 , 12 , 69 , 30 
Max Gordichuk (D), 67 , 6 , 14 , 76 , -21 
 Portland Winter Hawks , 60 , 6 , 13 , 74 , -18 
 Vancouver Giants , 7 , 0 , 1 , 2 , -3 
Randy King (D), 58 , 3 , 17 , 152 , -21 
 Everett Silvertips , 2 , 0 , 0 , 9 , 0 
 Prince George Cougars , 20 , 1 , 5 , 51 , -3 
 Lethbridge Hurricanes , 36 , 2 , 12 , 92 , -18 
Craig Lineker (D), 66 , 2 , 18 , 72 , 0 
 Saskatoon Blades , 27 , 0 , 9 , 36 , -5 
 Calgary Hitmen , 39 , 2 , 9 , 36 , 5 
Milan Lucic (LW), 62 , 9 , 10 , 149 , 4 
Clayton Barthel (D), 60 , 8 , 11 , 88 , -10 
Brennan Chapman (D), 67 , 4 , 15 , 116 , -17 
 Kamloops Blazers , 15 , 0 , 5 , 25 , 
 Red Deer Rebels , 52 , 4 , 10 , 91 , -17 
Lukas Vantuch (C/LW), 68 , 4 , 15 , 70 , 7 
Derek Price (D), 67 , 0 , 19 , 54 , -15 
 Swift Current Broncos , 38 , 0 , 14 , 44 , -18 
 Saskatoon Blades , 29 , 0 , 5 , 10 , 3 
Frazer McLaren (LW), 70 , 12 , 6 , 194 , -24 
Fred Wikner (RW), 66 , 10 , 8 , 32 , -9 
Dylan Yeo (D), 56 , 7 , 11 , 78 , 19 
Tyson Sievert (C), 58 , 7 , 11 , 73 , 4 
Dana Tyrell (C/W), 69 , 7 , 11 , 44 , -3 
Cam Barker (D), 26 , 5 , 13 , 63 , 4 
Ben Wright (D), 55 , 5 , 13 , 79 , -2 
Curtis Cooper (D), 72 , 5 , 13 , 42 , 3 
Dale Weise (RW), 53 , 4 , 14 , 57 , -14 
Brad Cole (D), 72 , 4 , 14 , 84 , 7 
 Kootenay Ice , 16 , 1 , 2 , 20 , 0 
 Saskatoon Blades , 56 , 3 , 12 , 64 , 7 
Janick Steinmann (C), 55 , 3 , 15 , 32 , 
Jason Fransoo (D), 72 , 3 , 15 , 63 , 4 
Jeff Topilko (RW), 45 , 10 , 7 , 13 , -2 
Jeff Lynch (LW), 35 , 9 , 8 , 41 , -2 
Scott Doucet (RW), 68 , 8 , 9 , 56 , -20 
Ryan DePape (RW), 66 , 7 , 10 , 125 , -27 
C.J. Stretch (C), 64 , 5 , 12 , 32 , 
Stephan Lenoski (D), 64 , 4 , 13 , 63 , -6 
Nicholas Hotson (D), 69 , 11 , 5 , 12 , -25 
Dwight King (LW/RW), 68 , 8 , 8 , 22 , -16 
Zack Dailey (C), 62 , 7 , 9 , 18 , 10 
Donny Lloyd (D), 69 , 5 , 11 , 100 , -22 
Martin Gründling (D), 57 , 3 , 13 , 87 , 12 
Kevin Hayman (C), 53 , 2 , 14 , 46 , -5 
Brennan Bosch (C), 66 , 8 , 7 , 29 , 0 
Kyle Bortis (C), 42 , 7 , 8 , 2 , -8 
Mike Reich (C), 61 , 7 , 8 , 150 , 13 
 Spokane Chiefs , 7 , 0 , 1 , 17 , 0 
 Calgary Hitmen , 54 , 7 , 7 , 133 , 13 
Terrance Delaronde (LW), 69 , 7 , 8 , 177 , 
Michael MacAngus (LW), 55 , 5 , 10 , 30 , -3 
Bretton Stamler (D), 56 , 5 , 10 , 102 , 8 
Matt McCue (D), 56 , 5 , 10 , 125 , -2 
Michael Senseman (F), 50 , 3 , 12 , 33 , 2 
Cody Thoring (D), 58 , 0 , 15 , 75 , 3 
Ryan Menei (RW), 38 , 8 , 6 , 39 , -2 
Evan Schafer (D), 72 , 8 , 6 , 143 , -15 
Michael Hengen (D), 51 , 4 , 10 , 69 , -14 
 Swift Current Broncos , 39 , 4 , 9 , 63 , -12 
 Saskatoon Blades , 12 , 0 , 1 , 6 , -2 
Greg Gardner (C), 71 , 4 , 10 , 41 , -1 
Trevor Glass (D), 64 , 3 , 11 , 20 , 5 
Mark Ashton (D), 65 , 2 , 12 , 113 , -8 
Tanner Gillies (C), 65 , 9 , 4 , 38 , -13 
Judd Blackwater (C), 45 , 7 , 6 , 70 , -5 
Mark Kress (C), 63 , 6 , 7 , 72 , -11 
Yashar Farmanara (C), 52 , 5 , 8 , 58 , -12 
 Seattle Thunderbirds , 23 , 1 , 2 , 14 , -3 
 Lethbridge Hurricanes , 29 , 4 , 6 , 44 , -9 
Devin Welsh (F), 67 , 5 , 8 , 82 , 1 
Shaun Vey (C), 25 , 3 , 10 , 16 , -9 
Mike Wilson (D), 34 , 3 , 10 , 16 , -4 
Mitch Czibere (LW), 62 , 3 , 10 , 41 , 3 
Levi Lind (C), 67 , 3 , 10 , 97 , -21 
Nic Knudsen (D), 73 , 2 , 11 , 109 , -2 
 Saskatoon Blades , 41 , 1 , 7 , 67 , 10 
 Tri-City Americans , 32 , 1 , 4 , 42 , -12 
Cody McMullin (F), 36 , 7 , 5 , 14 , -10 
Colton Gillies (C/W), 63 , 6 , 6 , 57 , -3 
Mike Gauthier (D), 69 , 4 , 8 , 169 , -18 
Jared Spurgeon (D), 46 , 3 , 9 , 28 , -10 
Vladimír Mihálik (D), 62 , 3 , 9 , 86 , -12 
Jordan Bendfeld (D), 65 , 2 , 10 , 92 , 19 
Myles Rumsey (D), 67 , 0 , 12 , 116 , -21 
Chris Cloud (LW), 56 , 6 , 5 , 68 , -7 
Matt Kassian (LW), 67 , 5 , 6 , 147 , -12 
Thomas Raffl (LW/RW), 33 , 4 , 7 , 39 , 3 
 Kelowna Rockets , 12 , 2 , 1 , 11 , 3 
 Swift Current Broncos , 21 , 2 , 6 , 28 , 0 
David Linsley (C), 48 , 4 , 7 , 26 , -14 
 Spokane Chiefs , 38 , 4 , 6 , 24 , -12 
 Seattle Thunderbirds , 10 , 0 , 1 , 2 , -2 
Travis Dunstall (LW), 49 , 3 , 8 , 40 , 
Jonathan Harty (D), 53 , 3 , 8 , 70 , 12 
Luke Schenn (D), 60 , 3 , 8 , 86 , 1 
Theran Yeo (D), 61 , 3 , 8 , 140 , 1 
Chad Scharff (D), 62 , 3 , 8 , 57 , 5 
Brendan Mikkelson (D), 22 , 2 , 9 , 41 , 3 
 Portland Winter Hawks , 3 , 1 , 1 , 4 , 0 
 Vancouver Giants , 19 , 1 , 8 , 37 , 3 
Kieran Block (LW), 49 , 2 , 9 , 52 , 15 
Paul Postma (D), 58 , 2 , 9 , 6 , -11 
J.P. Szaszkiewicz (LW), 61 , 2 , 9 , 64 , -5 
Travis Ehrhardt (D), 45 , 1 , 10 , 37 , 11 
Mike Berube (D), 69 , 1 , 10 , 70 , -2 
 Prince George Cougars , 17 , 0 , 4 , 14 , 3 
 Red Deer Rebels , 52 , 1 , 6 , 56 , -5 
Jesse Dudás (D), 24 , 0 , 11 , 27 , 2 
 Lethbridge Hurricanes , 18 , 0 , 7 , 12 , 4 
 Prince George Cougars , 6 , 0 , 4 , 15 , -2 
Shane Harper (RW), 62 , 6 , 4 , 8 , -8 
Aaron Boogaard (RW), 65 , 6 , 4 , 211 , -8 
Myles MacRae (C), 46 , 5 , 5 , 10 , -2 
Lindsay Nielsen (C), 50 , 5 , 5 , 8 , -5 
Damir Alic (C), 58 , 5 , 5 , 22 , -9 
David Rutherford (RW), 41 , 4 , 6 , 44 , 5 
Joel Eisenkirch (D), 50 , 4 , 6 , 63 , 
Jesse Smyke (RW), 54 , 4 , 6 , 27 , 0 
Brent Ottmann (RW), 39 , 3 , 7 , 23 , -13 
Tyler Ennis (LW/RW), 43 , 3 , 7 , 10 , -1 
John Negrin (D), 55 , 3 , 7 , 48 , 1 
Cameron Cepek (D), 21 , 2 , 8 , 71 , 5 
Justin Falk (D), 53 , 0 , 10 , 35 , 3 
 Calgary Hitmen , 5 , 0 , 2 , 0 , 2 
 Spokane Chiefs , 48 , 0 , 8 , 35 , 1 
R.J. LaRochelle (D), 57 , 0 , 10 , 93 , -11 
Matthew Swaby (D), 67 , 6 , 3 , 110 , -14 
Brandon Tidball (LW), 70 , 6 , 3 , 235 , -15 
 Saskatoon Blades , 41 , 3 , 3 , 130 , -13 
 Swift Current Broncos , 29 , 3 , 0 , 105 , -2 
Brady Mason (F), 58 , 5 , 4 , 19 , -3 
Andrew Wasmuth (LW), 40 , 4 , 5 , 21 , 4 
Todd Panchyson (D), 43 , 4 , 5 , 27 , 21 
 Kootenay Ice , 3 , 0 , 0 , 0 , 2 
 Saskatoon Blades , 40 , 4 , 5 , 27 , 19 
Alex Poulter (C), 57 , 4 , 5 , 19 , -5 
Justin Scott (C), 49 , 3 , 6 , 24 , -15 
Colton Sceviour (C/W), 58 , 3 , 6 , 25 , -19 
Brett Leffler (RW), 42 , 2 , 7 , 54 , -6 
Phillip Magistrale (D), 43 , 2 , 7 , 51 , -13 
 Tri-City Americans , 33 , 2 , 5 , 45 , -10 
 Spokane Chiefs , 10 , 0 , 2 , 6 , -3 
Garet Hunt (LW), 51 , 2 , 7 , 103 , 6 
Lukas Bohunicky (D), 59 , 2 , 7 , 52 , 9 
Kyle Howarth (LW), 38 , 1 , 8 , 36 , -12 
 Spokane Chiefs , 16 , 0 , 3 , 15 , -2 
 Prince Albert Raiders , 22 , 1 , 5 , 21 , -10 
Josh Elder (LW), 60 , 1 , 8 , 75 , -13 
Landon Jones (D), 61 , 1 , 8 , 151 , 3 
 Prince Albert Raiders , 14 , 0 , 1 , 34 , -3 
 Tri-City Americans , 47 , 1 , 7 , 117 , 6 
Cole Butterfield (D), 66 , 0 , 9 , 61 , -1 
 Moose Jaw Warriors , 3 , 0 , 2 , 3 , 9 
 Tri-City Americans , 63 , 0 , 7 , 58 , -10 
Carter Smith (RW), 62 , 7 , 1 , 47 , -6 
Ryan McDonald (C), 39 , 5 , 3 , 34 , -11 
Jason Bast (C), 56 , 5 , 3 , 12 , -1 
Kirk Meaver (F), 58 , 5 , 3 , 16 , 4 
 Tri-City Americans , 2 , 0 , 0 , 0 , -2 
 Prince George Cougars , 56 , 5 , 3 , 16 , 6 
Seth Compton (C), 67 , 3 , 5 , 34 , -11 
Craig Cuthbert (RW), 52 , 2 , 6 , 27 , -1 
Keaton Ellerby (D), 68 , 2 , 6 , 121 , 3 
Dan Mercer (D), 35 , 1 , 7 , 56 , -2 
Eric Doyle (D), 48 , 1 , 7 , 17 , 7 
Mark Louis (D/RW), 58 , 1 , 7 , 61 , 2 
Colin Joe (D), 62 , 0 , 8 , 38 , 8 
Spencer McAvoy (D), 56 , 5 , 2 , 44 , -6 
 Medicine Hat Tigers , 4 , 0 , 0 , 2 , 1 
