EP_href,EP_id,first,last,league,position,season,gp,g,a,plus_minus
https://www.eliteprospects.com/player/42797/sebastian-uvira,42797,sebastian,uvira,ohl,LW/RW,2011-2012,58,13,9,3.0
https://www.eliteprospects.com/player/95853/josh-anderson,95853,josh,anderson,ohl,RW,2011-2012,64,12,10,17.0
https://www.eliteprospects.com/player/45542/steven-trojanovic,45542,steven,trojanovic,ohl,D,2011-2012,68,7,15,-15.0
https://www.eliteprospects.com/player/45608/jake-worrad,45608,jake,worrad,ohl,D,2011-2012,63,5,17,-10.0
https://www.eliteprospects.com/player/33648/jeff-braithwaite,33648,jeff,braithwaite,ohl,D,2011-2012,57,4,18,-18.0
https://www.eliteprospects.com/player/45635/mitch-theoret,45635,mitch,theoret,ohl,C,2011-2012,62,12,9,7.0
https://www.eliteprospects.com/player/92686/garrett-hooey,92686,garrett,hooey,ohl,C,2011-2012,68,10,11,-14.0
https://www.eliteprospects.com/player/33658/gregg-sutch,33658,gregg,sutch,ohl,RW,2011-2012,57,9,12,-12.0
https://www.eliteprospects.com/player/33646/myles-doan,33646,myles,doan,ohl,C,2011-2012,67,9,12,1.0
https://www.eliteprospects.com/player/61949/remy-giftopoulos,61949,remy,giftopoulos,ohl,LW/C,2011-2012,64,8,13,9.0
https://www.eliteprospects.com/player/116999/josh-sterk,116999,josh,sterk,ohl,C,2011-2012,64,7,14,3.0
https://www.eliteprospects.com/player/45395/zach-bell,45395,zach,bell,ohl,D,2011-2012,58,5,16,22.0
https://www.eliteprospects.com/player/40251/michal-cajkovsky,40251,michal,cajkovsky,ohl,D,2011-2012,59,3,18,20.0
https://www.eliteprospects.com/player/37628/cameron-wind,37628,cameron,wind,ohl,D,2011-2012,68,2,19,16.0
https://www.eliteprospects.com/player/92682/joel-wigle,92682,joel,wigle,ohl,RW,2011-2012,63,12,8,-1.0
https://www.eliteprospects.com/player/62486/josh-graves,62486,josh,graves,ohl,F,2011-2012,66,8,12,-2.0
https://www.eliteprospects.com/player/83358/dalton-young,83358,dalton,young,ohl,D,2011-2012,56,5,15,0.0
https://www.eliteprospects.com/player/97951/jordan-subban,97951,jordan,subban,ohl,D,2011-2012,56,5,15,-23.0
https://www.eliteprospects.com/player/117011/jordan-maletta,117011,jordan,maletta,ohl,C,2011-2012,57,5,15,-7.0
https://www.eliteprospects.com/player/30929/kyle-pereira,30929,kyle,pereira,ohl,D,2011-2012,52,4,16,11.0
https://www.eliteprospects.com/player/45541/saverio-posa,45541,saverio,posa,ohl,D,2011-2012,62,4,16,-1.0
https://www.eliteprospects.com/player/76701/tyler-ferry,76701,tyler,ferry,ohl,D/F,2011-2012,64,3,17,29.0
https://www.eliteprospects.com/player/89694/adam-pelech,89694,adam,pelech,ohl,D,2011-2012,44,2,18,-20.0
https://www.eliteprospects.com/player/45578/geoff-schemitsch,45578,geoff,schemitsch,ohl,D,2011-2012,49,2,18,9.0
https://www.eliteprospects.com/player/110850/trevor-murphy,110850,trevor,murphy,ohl,D,2011-2012,60,1,19,-4.0
https://www.eliteprospects.com/player/76486/brock-mcginn,76486,brock,mcginn,ohl,LW/RW,2011-2012,33,12,7,-2.0
https://www.eliteprospects.com/player/32744/david-quesnele,32744,david,quesnele,ohl,LW,2011-2012,63,11,8,-17.0
https://www.eliteprospects.com/player/103947/zach-nastasiuk,103947,zach,nastasiuk,ohl,RW/C,2011-2012,68,11,8,-10.0
https://www.eliteprospects.com/player/45588/scott-sabourin,45588,scott,sabourin,ohl,RW,2011-2012,55,10,9,5.0
https://www.eliteprospects.com/player/37659/michael-macdonald,37659,michael,macdonald,ohl,LW,2011-2012,36,8,11,2.0
https://www.eliteprospects.com/player/37640/j.p.-labardo,37640,,,ohl,LW,2011-2012,50,8,11,-3.0
https://www.eliteprospects.com/player/76177/terry-trafford,76177,terry,trafford,ohl,LW,2011-2012,62,8,11,-11.0
https://www.eliteprospects.com/player/92063/nathan-cull,92063,nathan,cull,ohl,LW,2011-2012,63,8,11,-16.0
https://www.eliteprospects.com/player/37729/dan-maggio,37729,dan,maggio,ohl,D/RW,2011-2012,66,7,12,-1.0
https://www.eliteprospects.com/player/30924/conor-stokes,30924,conor,stokes,ohl,C,2011-2012,42,6,13,-18.0
https://www.eliteprospects.com/player/32748/joe-rogalski,32748,joe,rogalski,ohl,D,2011-2012,62,6,13,-20.0
https://www.eliteprospects.com/player/96473/jamie-lewis,96473,jamie,lewis,ohl,C,2011-2012,63,6,13,2.0
https://www.eliteprospects.com/player/69391/trevor-carrick,69391,trevor,carrick,ohl,D,2011-2012,68,6,13,-5.0
https://www.eliteprospects.com/player/18828/stephen-gaskin,18828,stephen,gaskin,ohl,D,2011-2012,68,6,13,-8.0
https://www.eliteprospects.com/player/15486/derek-holden,15486,derek,holden,ohl,D/RW,2011-2012,50,5,14,-52.0
https://www.eliteprospects.com/player/117736/chris-bigras,117736,chris,bigras,ohl,D,2011-2012,49,3,16,7.0
https://www.eliteprospects.com/player/45548/justin-sefton,45548,justin,sefton,ohl,D,2011-2012,63,3,16,-3.0
https://www.eliteprospects.com/player/96063/jake-dotchin,96063,jake,dotchin,ohl,D,2011-2012,64,3,16,-2.0
https://www.eliteprospects.com/player/82504/brett-welychka,82504,brett,welychka,ohl,C,2011-2012,46,9,9,7.0
https://www.eliteprospects.com/player/37612/david-mazurek,37612,david,mazurek,ohl,C,2011-2012,58,7,11,-26.0
https://www.eliteprospects.com/player/78333/ryan-van-stralen,78333,ryan,van,ohl,RW,2011-2012,60,7,11,0.0
https://www.eliteprospects.com/player/122133/travis-wood,122133,travis,wood,ohl,LW,2011-2012,64,6,12,-25.0
https://www.eliteprospects.com/player/45390/steven-strong,45390,steven,strong,ohl,D,2011-2012,64,6,12,-11.0
https://www.eliteprospects.com/player/84723/slater-koekkoek,84723,slater,koekkoek,ohl,D,2011-2012,26,5,13,-7.0
https://www.eliteprospects.com/player/76532/brayden-rose,76532,brayden,rose,ohl,D,2011-2012,64,1,17,15.0
https://www.eliteprospects.com/player/75619/brett-foy,75619,brett,foy,ohl,C,2011-2012,62,11,6,-12.0
https://www.eliteprospects.com/player/76797/carlos-amestoy,76797,carlos,amestoy,ohl,C,2011-2012,35,9,8,2.0
https://www.eliteprospects.com/player/75894/derek-mathers,75894,derek,mathers,ohl,RW/D,2011-2012,65,9,8,-19.0
https://www.eliteprospects.com/player/61950/nicholas-foglia,61950,nicholas,foglia,ohl,C,2011-2012,66,9,8,12.0
https://www.eliteprospects.com/player/125028/tyler-bertuzzi,125028,tyler,bertuzzi,ohl,LW/RW,2011-2012,61,6,11,2.0
https://www.eliteprospects.com/player/37636/brett-cook,37636,brett,cook,ohl,D,2011-2012,55,4,13,-26.0
https://www.eliteprospects.com/player/92683/kurtis-gabriel,92683,kurtis,gabriel,ohl,RW,2011-2012,65,4,13,4.0
https://www.eliteprospects.com/player/154705/brenden-miller,154705,brenden,miller,ohl,D,2011-2012,50,3,14,-2.0
https://www.eliteprospects.com/player/78063/zac-leslie,78063,zac,leslie,ohl,D,2011-2012,65,2,15,-3.0
https://www.eliteprospects.com/player/45589/colin-suellentrop,45589,colin,suellentrop,ohl,D,2011-2012,67,2,15,10.0
