,_id,ep_id,season,team,league,games_played,goals,assists,penalty_min,plus_minus
8640,5e0a71a9b796e999afd8fcb6,62228,,Calgary Hitmen,WHL,16,0,4,4,0
8641,5e0a71a9b796e999afd8fcb8,62228,2014-15,Calgary Hitmen,WHL,1,0,0,0,-1
8642,5e0a71a9b796e999afd8fcba,62228,,Saskatoon Blades,WHL,31,5,4,8,-6
8643,5e0a71a9b796e999afd8fcbc,62228,,Calgary Canucks,AJHL,1,0,0,0,
8644,5e0a71a9b796e999afd8fcbe,62228,,Fort McMurray Oil Barons,AJHL,16,1,8,12,
8645,5e0a71a9b796e999afd8fcc0,62228,2015-16,Fort McMurray Oil Barons,AJHL,27,10,12,44,
8646,5e0a71a9b796e999afd8fcc2,62228,,Brooks Bandits,AJHL,33,14,22,53,
8647,5e0a71a9b796e999afd8fcc4,62228,2016-17,CBHA Rangers Jr. B,CalJHL,29,43,29,50,
8648,5e0a71a9b796e999afd8fcc6,62228,2017-18,CBHA Rangers Jr. B,CalJHL,27,35,41,50,
8649,5e0a71abb796e999afd8fcc9,11676,2002-03,SSAC Lions Bantam AAA,AMBHL,27,3,6,18,
8650,5e0a71abb796e999afd8fccb,11676,2003-04,SSAC Lions Bantam AAA,AMBHL,39,9,44,145,
8651,5e0a71abb796e999afd8fccd,11676,2004-05,SSAC Athletics Midget AAA,AMHL,35,3,18,62,
8652,5e0a71abb796e999afd8fccf,11676,,Lethbridge Hurricanes,WHL,3,0,0,0,-1
8653,5e0a71abb796e999afd8fcd1,11676,2005-06,Fort McMurray Oil Barons,AJHL,48,4,7,93,
8654,5e0a71abb796e999afd8fcd3,11676,,Lethbridge Hurricanes,WHL,2,0,0,0,-1
8655,5e0a71abb796e999afd8fcd5,11676,2006-07,Lethbridge Hurricanes,WHL,59,9,12,77,-6
8656,5e0a71abb796e999afd8fcd7,11676,,Fort McMurray Oil Barons,AJHL,1,0,0,0,
8657,5e0a71abb796e999afd8fcd9,11676,2007-08,Lethbridge Hurricanes,WHL,52,9,22,39,16
8658,5e0a71abb796e999afd8fcdb,11676,2008-09,Chilliwack Bruins,WHL,41,2,18,44,-32
8659,5e0a71abb796e999afd8fcdd,11676,2009-10,Chilliwack Bruins,WHL,61,7,30,48,-13
8660,5e0a71abb796e999afd8fcdf,11676,2010-11,Univ. of Alberta,USports,28,4,13,8,12
8661,5e0a71abb796e999afd8fce1,11676,2011-12,Univ. of Alberta,USports,28,3,9,10,
8662,5e0a71abb796e999afd8fce3,11676,2012-13,Univ. of Alberta,USports,27,1,23,34,21
8663,5e0a71abb796e999afd8fce5,11676,2013-14,"Univ. of Alberta 
“A”",USports,22,4,17,14,24
8664,5e0a71abb796e999afd8fce7,11676,2014-15,"Univ. of Alberta 
“A”",USports,26,5,14,32,21
8665,5e0a71adb796e999afd8fcea,37157,2004-05,St. Albert Sabres Bantam AAA,AMBHL,20,5,9,40,
8666,5e0a71adb796e999afd8fcec,37157,2005-06,Knights of Columbus Pats Mgt AAA,AMHL,36,4,6,28,
8667,5e0a71adb796e999afd8fcee,37157,2006-07,Bonnyville Pontiacs,AJHL,4,0,0,13,
8668,5e0a71adb796e999afd8fcf0,37157,,Knights of Columbus Pats Mgt AAA,AMHL,36,14,27,98,
8669,5e0a71adb796e999afd8fcf2,37157,2007-08,Lethbridge Hurricanes,WHL,65,1,9,26,7
8670,5e0a71adb796e999afd8fcf4,37157,2008-09,Lethbridge Hurricanes,WHL,69,4,8,63,-15
8671,5e0a71adb796e999afd8fcf6,37157,2009-10,Lethbridge Hurricanes,WHL,30,6,6,27,-1
8672,5e0a71adb796e999afd8fcf8,37157,,Regina Pats,WHL,35,3,1,32,-22
8673,5e0a71afb796e999afd8fcfb,48363,2008-09,Pursuit of Excellence 16U,Midget,-,-,-,-,
8674,5e0a71afb796e999afd8fcfd,48363,2009-10,Victoria Grizzlies,BCHL,45,2,4,55,
8675,5e0a71afb796e999afd8fcff,48363,2010-11,Tri-City Americans,WHL,56,0,3,107,-11
8676,5e0a71afb796e999afd8fd01,48363,2011-12,Tri-City Americans,WHL,57,3,7,94,27
8677,5e0a71afb796e999afd8fd03,48363,2012-13,Tri-City Americans,WHL,6,0,2,6,1
8678,5e0a71afb796e999afd8fd05,48363,,Kamloops Blazers,WHL,61,5,16,122,35
8679,5e0a71afb796e999afd8fd07,48363,2013-14,"Kamloops Blazers 
“A”",WHL,62,2,13,167,-34
8680,5e0a71b1b796e999afd8fd0a,204352,1999-00,Fort Saskatchewan Rang. Bntm AAA,AMBHL,36,12,9,12,
8681,5e0a71b1b796e999afd8fd0c,204352,2000-01,Fort Saskatchewan Rang. Bntm AAA,AMBHL,39,25,35,41,
8682,5e0a71b1b796e999afd8fd0e,204352,2001-02,Medicine Hat Tigers,WHL,57,1,3,8,-11
8683,5e0a71b1b796e999afd8fd10,204352,2002-03,Medicine Hat Tigers,WHL,45,3,7,21,-9
8684,5e0a71b1b796e999afd8fd12,204352,2003-04,Seattle Thunderbirds,WHL,31,1,1,28,-8
8685,5e0a71b1b796e999afd8fd14,204352,,Camrose Kodiaks,AJHL,16,6,3,31,
8686,5e0a71b1b796e999afd8fd16,204352,2004-05,Camrose Kodiaks,AJHL,51,12,13,43,
8687,5e0a71b1b796e999afd8fd18,204352,2005-06,Concordia Univ. College of AB,ACAC,21,15,6,67,
8688,5e0a71b1b796e999afd8fd1a,204352,2006-07,Concordia Univ. College of AB,ACAC,22,5,10,16,
8689,5e0a71b3b796e999afd8fd1d,15727,2002-03,Winnipeg Sharks Bantam AAA,WBAAA,30,20,19,48,
8690,5e0a71b3b796e999afd8fd1f,15727,2003-04,Winnipeg Thrashers Midget AAA,MMHL,39,16,16,76,
8691,5e0a71b3b796e999afd8fd21,15727,2004-05,Winnipeg Thrashers Midget AAA,MMHL,32,14,29,131,
8692,5e0a71b3b796e999afd8fd23,15727,2005-06,Swift Current Broncos,WHL,53,4,14,57,-14
8693,5e0a71b3b796e999afd8fd25,15727,2006-07,Swift Current Broncos,WHL,67,18,25,94,-14
8694,5e0a71b3b796e999afd8fd27,15727,2007-08,Swift Current Broncos,WHL,53,29,22,84,8
8695,5e0a71b3b796e999afd8fd29,15727,2008-09,Hartford Wolf Pack,AHL,74,11,12,64,8
8696,5e0a71b3b796e999afd8fd2b,15727,2009-10,Hartford Wolf Pack,AHL,73,28,22,114,8
8697,5e0a71b3b796e999afd8fd2d,15727,2010-11,New York Rangers,NHL,10,0,0,19,-1
8698,5e0a71b3b796e999afd8fd2f,15727,,Connecticut Whale,AHL,47,18,20,73,-14
8699,5e0a71b3b796e999afd8fd31,15727,2011-12,Vancouver Canucks,NHL,68,4,4,81,-1
8700,5e0a71b3b796e999afd8fd33,15727,,Vancouver Canucks,NHL,40,3,3,43,-7
8701,5e0a71b3b796e999afd8fd35,15727,2013-14,Vancouver Canucks,NHL,44,3,9,42,-1
8702,5e0a71b3b796e999afd8fd37,15727,,Montréal Canadiens,NHL,17,3,1,17,4
8703,5e0a71b3b796e999afd8fd39,15727,2014-15,Montréal Canadiens,NHL,79,10,19,34,21
8704,5e0a71b3b796e999afd8fd3b,15727,2015-16,Montréal Canadiens,NHL,56,14,12,22,0
8705,5e0a71b3b796e999afd8fd3d,15727,,Chicago Blackhawks,NHL,15,0,1,2,4
8706,5e0a71b3b796e999afd8fd3f,15727,2016-17,Philadelphia Flyers,NHL,64,8,7,39,1
8707,5e0a71b3b796e999afd8fd41,15727,2017-18,Philadelphia Flyers,NHL,46,4,4,21,-7
8708,5e0a71b3b796e999afd8fd43,15727,2018-19,Philadelphia Flyers,NHL,42,5,6,15,-6
8709,5e0a71b3b796e999afd8fd45,15727,,Lehigh Valley Phantoms,AHL,3,1,1,2,1
8710,5e0a71b3b796e999afd8fd47,15727,,Montréal Canadiens,NHL,9,0,0,4,-2
8711,5e0a71b3b796e999afd8fd49,15727,,Laval Rocket,AHL,3,2,0,0,2
8712,5e0a71b3b796e999afd8fd4b,15727,2019-20,"Laval Rocket 
“A”",AHL,26,3,4,14,-3
8713,5e0a71b5b796e999afd8fd4e,11105,2001-02,Oakville Rangers Bantam AAA,SCTAB,54,56,58,70,
8714,5e0a71b5b796e999afd8fd50,11105,2002-03,Burlington Cougars,OPJHL,46,19,15,4,
8715,5e0a71b5b796e999afd8fd52,11105,2003-04,Oshawa Generals,OHL,65,20,36,25,10
8716,5e0a71b5b796e999afd8fd54,11105,2004-05,Oshawa Generals,OHL,25,12,14,18,-12
8717,5e0a71b5b796e999afd8fd56,11105,,Toronto St. Michael's Majors,OHL,28,9,8,12,-10
8718,5e0a71b5b796e999afd8fd58,11105,2005-06,Toronto St. Michael's Majors,OHL,68,36,36,50,-5
8719,5e0a71b5b796e999afd8fd5a,11105,,Motor City Mechanics,UHL,4,0,1,4,
