,_id,ep_id,playoffs_gp,playoffs_g,playoffs_a,playoffs_pim,playoffs_pm
134,5e0a6b71b796e999afd8b490,11108,2,3,2,12,
135,5e0a6b71b796e999afd8b492,11108,6,1,1,6,1
136,5e0a6b71b796e999afd8b494,11108,,,,,
137,5e0a6b71b796e999afd8b496,11108,,,,,
138,5e0a6b71b796e999afd8b498,11108,7,6,9,9,-2
139,5e0a6b71b796e999afd8b49a,11108,15,5,11,12,5
140,5e0a6b71b796e999afd8b49c,11108,,,,,
141,5e0a6b71b796e999afd8b49e,11108,,,,,
142,5e0a6b71b796e999afd8b4a0,11108,,,,,
143,5e0a6b71b796e999afd8b4a2,11108,,,,,
144,5e0a6b71b796e999afd8b4a4,11108,,,,,
145,5e0a6b71b796e999afd8b4a6,11108,,,,,
146,5e0a6b73b796e999afd8b4a9,159029,,,,,
147,5e0a6b73b796e999afd8b4ab,159029,13,1,8,16,-5
148,5e0a6b73b796e999afd8b4ad,159029,7,3,2,0,0
149,5e0a6b73b796e999afd8b4af,159029,,,,,
150,5e0a6b73b796e999afd8b4b1,159029,,,,,
151,5e0a6b73b796e999afd8b4b3,159029,12,0,0,4,1
152,5e0a6b73b796e999afd8b4b5,159029,9,0,1,10,-6
153,5e0a6b73b796e999afd8b4b7,159029,,,,,
154,5e0a6b73b796e999afd8b4b9,159029,,,,,
155,5e0a6b73b796e999afd8b4bb,159029,,,,,
156,5e0a6b73b796e999afd8b4bd,159029,,,,,
157,5e0a6b73b796e999afd8b4bf,159029,,,,,
158,5e0a6b75b796e999afd8b4c4,246126,,,,,
159,5e0a6b75b796e999afd8b4c6,246126,,,,,
160,5e0a6b75b796e999afd8b4c8,246126,6,0,0,2,-7
161,5e0a6b75b796e999afd8b4ca,246126,5,2,1,8,
162,5e0a6b77b796e999afd8b4cd,15610,,,,,
163,5e0a6b77b796e999afd8b4cf,15610,,,,,
164,5e0a6b77b796e999afd8b4d1,15610,20,1,4,12,6
165,5e0a6b77b796e999afd8b4d3,15610,6,1,0,14,4
166,5e0a6b77b796e999afd8b4d5,15610,12,0,5,16,6
167,5e0a6b77b796e999afd8b4d7,15610,,,,,
168,5e0a6b77b796e999afd8b4d9,15610,,,,,
169,5e0a6b77b796e999afd8b4db,15610,,,,,
170,5e0a6b77b796e999afd8b4dd,15610,,,,,
171,5e0a6b77b796e999afd8b4df,15610,6,0,4,14,-2
172,5e0a6b77b796e999afd8b4e1,15610,,,,,
173,5e0a6b77b796e999afd8b4e3,15610,,,,,
174,5e0a6b77b796e999afd8b4e5,15610,15,1,0,15,4
175,5e0a6b77b796e999afd8b4e7,15610,,,,,
176,5e0a6b77b796e999afd8b4e9,15610,,,,,
177,5e0a6b77b796e999afd8b4eb,15610,,,,,
178,5e0a6b77b796e999afd8b4ed,15610,,,,,
179,5e0a6b7ab796e999afd8b4f0,15330,,,,,
180,5e0a6b7ab796e999afd8b4f2,15330,4,1,0,11,-3
181,5e0a6b7ab796e999afd8b4f4,15330,,,,,
182,5e0a6b7ab796e999afd8b4f6,15330,,,,,
183,5e0a6b7ab796e999afd8b4f8,15330,,,,,
184,5e0a6b7ab796e999afd8b4fa,15330,,,,,
185,5e0a6b7ab796e999afd8b4fc,15330,,,,,
186,5e0a6b7ab796e999afd8b4fe,15330,,,,,
187,5e0a6b7ab796e999afd8b500,15330,,,,,
188,5e0a6b7ab796e999afd8b502,15330,,,,,
189,5e0a6b7ab796e999afd8b504,15330,,,,,
190,5e0a6b7ab796e999afd8b506,15330,,,,,
191,5e0a6b7ab796e999afd8b508,15330,,,,,
192,5e0a6b7cb796e999afd8b50b,41098,6,0,0,2,0
193,5e0a6b7cb796e999afd8b50d,41098,17,2,9,18,2
194,5e0a6b7cb796e999afd8b50f,41098,13,5,4,6,-6
195,5e0a6b7cb796e999afd8b511,41098,8,0,3,4,-1
196,5e0a6b7cb796e999afd8b513,41098,,,,,
197,5e0a6b7cb796e999afd8b515,41098,12,1,0,4,-1
198,5e0a6b7cb796e999afd8b517,41098,,,,,
199,5e0a6b7cb796e999afd8b519,41098,8,2,2,0,1
200,5e0a6b7cb796e999afd8b51b,41098,,,,,
201,5e0a6b7eb796e999afd8b523,95829,,,,,
202,5e0a6b7eb796e999afd8b525,95829,,,,,
203,5e0a6b7eb796e999afd8b527,95829,,,,,
204,5e0a6b7eb796e999afd8b529,95829,,,,,
205,5e0a6b7eb796e999afd8b52b,95829,11,2,5,8,2
206,5e0a6b7eb796e999afd8b52d,95829,4,2,1,0,-2
207,5e0a6b7eb796e999afd8b52f,95829,3,0,2,2,
208,5e0a6b7eb796e999afd8b531,95829,2,1,2,2,
209,5e0a6b7eb796e999afd8b533,95829,3,2,0,2,
210,5e0a6b7eb796e999afd8b535,95829,5,0,3,0,
211,5e0a6b81b796e999afd8b538,79742,3,1,0,18,0
212,5e0a6b81b796e999afd8b53a,79742,,,,,
213,5e0a6b81b796e999afd8b53c,79742,,,,,
214,5e0a6b81b796e999afd8b53e,79742,,,,,
215,5e0a6b81b796e999afd8b540,79742,13,1,2,26,-1
216,5e0a6b81b796e999afd8b542,79742,,,,,
217,5e0a6b81b796e999afd8b544,79742,,,,,
218,5e0a6b81b796e999afd8b546,79742,,,,,
219,5e0a6b81b796e999afd8b548,79742,,,,,
220,5e0a6b82b796e999afd8b54b,15382,,,,,
221,5e0a6b82b796e999afd8b54d,15382,,,,,
222,5e0a6b82b796e999afd8b54f,15382,,,,,
223,5e0a6b82b796e999afd8b551,15382,5,0,0,2,0
224,5e0a6b82b796e999afd8b553,15382,5,2,5,8,4
225,5e0a6b82b796e999afd8b555,15382,,,,,
226,5e0a6b83b796e999afd8b557,15382,,,,,
227,5e0a6b83b796e999afd8b559,15382,21,8,7,23,0
228,5e0a6b83b796e999afd8b55b,15382,,,,,
229,5e0a6b83b796e999afd8b55d,15382,,,,,
230,5e0a6b83b796e999afd8b55f,15382,,,,,
231,5e0a6b85b796e999afd8b563,83127,,,,,
232,5e0a6b85b796e999afd8b565,83127,,,,,
233,5e0a6b85b796e999afd8b567,83127,,,,,
234,5e0a6b85b796e999afd8b569,83127,,,,,
235,5e0a6b85b796e999afd8b56b,83127,,,,,
236,5e0a6b85b796e999afd8b56d,83127,16,3,9,42,0
237,5e0a6b85b796e999afd8b56f,83127,5,1,1,12,2
238,5e0a6b85b796e999afd8b571,83127,,,,,
239,5e0a6b85b796e999afd8b573,83127,,,,,
240,5e0a6b85b796e999afd8b575,83127,,,,,
241,5e0a6b85b796e999afd8b577,83127,11,0,4,19,-2
242,5e0a6b85b796e999afd8b579,83127,,,,,
243,5e0a6b85b796e999afd8b57b,83127,,,,,
244,5e0a6b85b796e999afd8b57d,83127,4,0,2,2,
245,5e0a6b85b796e999afd8b57f,83127,,,,,
246,5e0a6b85b796e999afd8b581,83127,,,,,
247,5e0a6b85b796e999afd8b583,83127,,,,,
248,5e0a6b85b796e999afd8b585,83127,,,,,
249,5e0a6b85b796e999afd8b587,83127,,,,,
250,5e0a6b87b796e999afd8b58a,8526,,,,,
251,5e0a6b87b796e999afd8b58c,8526,,,,,
252,5e0a6b87b796e999afd8b58e,8526,7,2,1,4,-4
253,5e0a6b87b796e999afd8b590,8526,5,1,1,6,-2
254,5e0a6b87b796e999afd8b592,8526,7,5,1,12,4
255,5e0a6b87b796e999afd8b594,8526,12,4,13,18,6
256,5e0a6b87b796e999afd8b596,8526,10,1,4,4,-3
257,5e0a6b87b796e999afd8b598,8526,16,3,4,13,-3
258,5e0a6b87b796e999afd8b59a,8526,1,0,0,4,0
259,5e0a6b87b796e999afd8b59c,8526,21,7,10,32,1
260,5e0a6b87b796e999afd8b59e,8526,6,2,3,6,-2
261,5e0a6b87b796e999afd8b5a0,8526,13,4,14,25,3
262,5e0a6b87b796e999afd8b5a2,8526,,,,,
263,5e0a6b87b796e999afd8b5a4,8526,6,2,4,9,0
264,5e0a6b87b796e999afd8b5a6,8526,,,,,
265,5e0a6b87b796e999afd8b5a8,8526,7,3,3,6,2
266,5e0a6b87b796e999afd8b5aa,8526,12,4,11,10,-2
267,5e0a6b87b796e999afd8b5ac,8526,16,2,18,6,6
268,5e0a6b87b796e999afd8b5ae,8526,7,2,3,4,4
269,5e0a6b87b796e999afd8b5b0,8526,17,8,11,8,7
270,5e0a6b87b796e999afd8b5b2,8526,4,0,2,18,-4
271,5e0a6b87b796e999afd8b5b4,8526,,,,,
272,5e0a6b87b796e999afd8b5b6,8526,,,,,
273,5e0a6b8ab796e999afd8b5c2,13618,,,,,
274,5e0a6b8ab796e999afd8b5c4,13618,2,0,0,0,0
275,5e0a6b8ab796e999afd8b5c6,13618,5,2,0,0,-6
276,5e0a6b8ab796e999afd8b5c8,13618,2,0,0,0,-1
277,5e0a6b8ab796e999afd8b5ca,13618,,,,,
278,5e0a6b8ab796e999afd8b5cc,13618,,,,,
279,5e0a6b8ab796e999afd8b5ce,13618,,,,,
280,5e0a6b8ab796e999afd8b5d0,13618,6,1,3,2,0
281,5e0a6b8ab796e999afd8b5d2,13618,,,,,
282,5e0a6b8ab796e999afd8b5d4,13618,,,,,
283,5e0a6b8ab796e999afd8b5d6,13618,,,,,
284,5e0a6b8ab796e999afd8b5d8,13618,,,,,
285,5e0a6b8ab796e999afd8b5da,13618,,,,,
286,5e0a6b8ab796e999afd8b5dc,13618,4,0,0,0,3
287,5e0a6b8ab796e999afd8b5de,13618,5,0,0,0,-6
288,5e0a6b8ab796e999afd8b5e0,13618,,,,,
289,5e0a6b8ab796e999afd8b5e2,13618,,,,,
290,5e0a6b8ab796e999afd8b5e4,13618,1,0,0,0,-1
291,5e0a6b8cb796e999afd8b5e7,26383,,,,,
292,5e0a6b8cb796e999afd8b5e9,26383,,,,,
293,5e0a6b8cb796e999afd8b5eb,26383,,,,,
294,5e0a6b8cb796e999afd8b5ed,26383,,,,,
